horse,num_top10_courses,course
Gaassee (IRE),1,Newmarket
Gabr (GB),2,"Doncaster, Newmarket"
Gabrial (IRE),1,Doncaster
Gabrial The Devil (IRE),1,Doncaster
Gabrial The Hero (USA),2,"Doncaster, Newmarket"
Gabrial The Saint (IRE),1,Doncaster
Gabrial The Tiger (IRE),1,Doncaster
Gabrial The Viking (IRE),1,Doncaster
Gabrial The Wire (GB),1,Doncaster
Gabrials Boy (GB),1,Doncaster
Gabrials Kaka (IRE),2,"Doncaster, Newmarket"
Gabrials King (IRE),1,Newmarket
Gabrials Star (GB),2,"Doncaster, Newmarket"
Gabriellas Spirit (IRE),1,Doncaster
Gabrielle (GB),1,Newmarket
Gabriels Oboe (IRE),1,Doncaster
Gaelic Secret (GB),1,Doncaster
Gaga Mate (IRE),1,Doncaster
Gainsbourg (GB),1,Doncaster
Gal Wonder (GB),1,Newmarket
Gala (GB),2,"Doncaster, Newmarket"
Galactic (IRE),1,Newmarket
Galactic Glow (IRE),2,"Doncaster, Newmarket"
Galactic Jack (IRE),1,Newmarket
Galadriel (GB),1,Doncaster
Galah (GB),2,"Doncaster, Newmarket"
Galahad Threepwood (GB),1,Newmarket
Galapiat (GB),1,Newmarket
Galata Bridge (GB),1,Newmarket
Galaxy Zoo (GB),2,"Doncaster, Newmarket"
Gale Force (GB),1,Newmarket
Gale Force Maya (GB),2,"Doncaster, Newmarket"
Gale Song (GB),1,Newmarket
Galeron (IRE),2,"Doncaster, Newmarket"
Galiac (GB),1,Doncaster
Galidermes (FR),1,Doncaster
Galileo Chrome (IRE),1,Doncaster
Galileo Glass (IRE),1,Doncaster
Galileo Gold (GB),1,Newmarket
Galileo Island (IRE),2,"Doncaster, Newmarket"
Galileos Spear (FR),1,Doncaster
Gallant (FR),1,Newmarket
Gallant Lion (GB),1,Newmarket
Gallaside (FR),1,Newmarket
Gallic (GB),2,"Doncaster, Newmarket"
Gallipoli (IRE),2,"Doncaster, Newmarket"
Gallovie (GB),1,Doncaster
Galloway Hills (GB),2,"Doncaster, Newmarket"
Galmarley (GB),1,Doncaster
Galsworthy (GB),1,Newmarket
Galuppi (GB),2,"Doncaster, Newmarket"
Galvanize (USA),1,Newmarket
Gambit (GB),1,Doncaster
Gamblers Kitty (GB),1,Doncaster
Gambol (FR),1,Doncaster
Game Mascot (GB),1,Doncaster
Game Player (IRE),1,Newmarket
Game Set (IRE),1,Doncaster
Game Starter (IRE),1,Doncaster
Gamekeeper (IRE),1,Newmarket
Gameplay (GB),1,Doncaster
Gamesome (FR),2,"Doncaster, Newmarket"
Gamesters Icon (GB),1,Doncaster
Gamraan (GB),2,"Doncaster, Newmarket"
Gang Warfare (GB),1,Doncaster
Gangland (GB),1,Doncaster
Gannicus (GB),2,"Doncaster, Newmarket"
Gannon Glory (IRE),1,Doncaster
Gantier (GB),1,Newmarket
Ganymede (GB),1,Newmarket
Gap Year (IRE),1,Newmarket
Garbanzo (IRE),2,"Doncaster, Newmarket"
Garden Route (IRE),1,Newmarket
Garden World (IRE),2,"Doncaster, Newmarket"
Gardinia (GB),1,Doncaster
Gareeb (IRE),1,Newmarket
Garfield Shadow (IRE),1,Newmarket
Garrel Glen (GB),1,Newmarket
Garrick (GB),1,Newmarket
Garrus (IRE),2,"Doncaster, Newmarket"
